language,word,pronunciation,tone practice,tone distractor 1,tone distractor 2,tone distractor 3,meaning,example sentence,sentence pronunciation,sentence meaning,Level,group,tag,pack,notes
Taiwan Mandarin,蔥油餅,cōngyóubǐng,,,,,scallion pancake,,,,,,,Fragrant Fields,
Taiwan Mandarin,青蔥,qīngcōng,,,,,green onion / scallion,,,,,,,Fragrant Fields,
Taiwan Mandarin,宜蘭,Yílán,,,,,Yilan (city in Taiwan),,,,,,,Fragrant Fields,
Taiwan Mandarin,三星,Sānxīng,,,,,Sanxing (famous green onion area),,,,,,,Fragrant Fields,
Taiwan Mandarin,特產,tèchǎn,,,,,local specialty,,,,,,,Fragrant Fields,
Taiwan Mandarin,麵粉,miànfěn,,,,,flour,,,,,,,Fragrant Fields,
Taiwan Mandarin,麵糰,miàntuán,,,,,dough,,,,,,,Fragrant Fields,
Taiwan Mandarin,煎,jiān,,,,,to pan-fry,,,,,,,Fragrant Fields,
Taiwan Mandarin,揉,róu,,,,,to knead,,,,,,,Fragrant Fields,
Taiwan Mandarin,酥脆,sūcuì,,,,,crispy/flaky,,,,,,,Fragrant Fields,
Taiwan Mandarin,香,xiāng,,,,,fragrant,,,,,,,Fragrant Fields,
Taiwan Mandarin,小吃,xiǎochī,,,,,snack / street food,,,,,,,Fragrant Fields,
